STATE/UT,DISTRICT,YEAR,RAPE
ODISHA,ANGUL,2006,41
ODISHA,ANGUL,2007,38
ODISHA,ANGUL,2008,47
ODISHA,ANGUL,2009,59
ODISHA,ANGUL,2010,39
ODISHA,ANGUL,2011,63
ODISHA,ANGUL,2012,63
ARUNACHAL PRADESH,ANJAW,2009,0
ARUNACHAL PRADESH,ANJAW,2010,1
ARUNACHAL PRADESH,ANJAW,2011,0
ARUNACHAL PRADESH,ANJAW,2012,0
MADHYA PRADESH,ANUPPUR,2003,10
MADHYA PRADESH,ANUPPUR,2004,28
MADHYA PRADESH,ANUPPUR,2005,31
MADHYA PRADESH,ANUPPUR,2006,38
MADHYA PRADESH,ANUPPUR,2007,49
MADHYA PRADESH,ANUPPUR,2008,42
MADHYA PRADESH,ANUPPUR,2009,35
MADHYA PRADESH,ANUPPUR,2010,35
MADHYA PRADESH,ANUPPUR,2011,60
MADHYA PRADESH,ANUPPUR,2012,62
BIHAR,ARARIA,2001,93
BIHAR,ARARIA,2002,101
BIHAR,ARARIA,2003,38
BIHAR,ARARIA,2004,34
BIHAR,ARARIA,2005,29
BIHAR,ARARIA,2006,42
BIHAR,ARARIA,2007,47
BIHAR,ARARIA,2008,37
BIHAR,ARARIA,2009,28
BIHAR,ARARIA,2010,42
BIHAR,ARARIA,2011,69
BIHAR,ARARIA,2012,53
TAMIL NADU,ARIYALUR,2001,6
TAMIL NADU,ARIYALUR,2009,21
TAMIL NADU,ARIYALUR,2010,20
TAMIL NADU,ARIYALUR,2011,16
TAMIL NADU,ARIYALUR,2012,11
BIHAR,ARWAL,2001,0
BIHAR,ARWAL,2002,0
BIHAR,ARWAL,2003,3
BIHAR,ARWAL,2004,2
BIHAR,ARWAL,2005,1
BIHAR,ARWAL,2006,0
BIHAR,ARWAL,2007,8
BIHAR,ARWAL,2008,2
BIHAR,ARWAL,2009,2
BIHAR,ARWAL,2010,3
BIHAR,ARWAL,2011,5
BIHAR,ARWAL,2012,5
WEST BENGAL,ASANSOL,2001,0
WEST BENGAL,ASANSOL,2002,1
WEST BENGAL,ASANSOL,2003,8
WEST BENGAL,ASANSOL,2004,9
WEST BENGAL,ASANSOL,2005,9
WEST BENGAL,ASANSOL,2006,19
WEST BENGAL,ASANSOL,2007,15
WEST BENGAL,ASANSOL,2008,20
WEST BENGAL,ASANSOL,2009,13
WEST BENGAL,ASANSOL,2010,18
WEST BENGAL,ASANSOL,2011,31
WEST BENGAL,ASANSOL,2012,36
MADHYA PRADESH,ASHOK NAGAR,2003,33
MADHYA PRADESH,ASHOK NAGAR,2004,35
MADHYA PRADESH,ASHOK NAGAR,2005,47
MADHYA PRADESH,ASHOK NAGAR,2006,54
MADHYA PRADESH,ASHOK NAGAR,2007,81
MADHYA PRADESH,ASHOK NAGAR,2008,47
MADHYA PRADESH,ASHOK NAGAR,2009,38
MADHYA PRADESH,ASHOK NAGAR,2010,45
MADHYA PRADESH,ASHOK NAGAR,2011,36
MADHYA PRADESH,ASHOK NAGAR,2012,50
UTTAR PRADESH,AURAIYA,2001,11
UTTAR PRADESH,AURAIYA,2002,10
UTTAR PRADESH,AURAIYA,2003,4
UTTAR PRADESH,AURAIYA,2004,4
UTTAR PRADESH,AURAIYA,2005,9
UTTAR PRADESH,AURAIYA,2006,10
UTTAR PRADESH,AURAIYA,2007,9
UTTAR PRADESH,AURAIYA,2008,11
UTTAR PRADESH,AURAIYA,2009,11
UTTAR PRADESH,AURAIYA,2010,11
UTTAR PRADESH,AURAIYA,2011,15
UTTAR PRADESH,AURAIYA,2012,13
