STATE/UT,DISTRICT,YEAR,KIDNAPPING & ABDUCTION
MAHARASHTRA,AURANGABAD COMMR.,2005,12
MAHARASHTRA,AURANGABAD COMMR.,2006,22
MAHARASHTRA,AURANGABAD COMMR.,2007,29
MAHARASHTRA,AURANGABAD COMMR.,2008,38
MAHARASHTRA,AURANGABAD COMMR.,2009,28
MAHARASHTRA,AURANGABAD COMMR.,2010,40
MAHARASHTRA,AURANGABAD COMMR.,2011,35
MAHARASHTRA,AURANGABAD COMMR.,2012,25
MAHARASHTRA,AURANGABAD RURAL,2001,16
MAHARASHTRA,AURANGABAD RURAL,2002,11
MAHARASHTRA,AURANGABAD RURAL,2003,4
MAHARASHTRA,AURANGABAD RURAL,2004,11
MAHARASHTRA,AURANGABAD RURAL,2005,6
MAHARASHTRA,AURANGABAD RURAL,2006,11
MAHARASHTRA,AURANGABAD RURAL,2007,15
MAHARASHTRA,AURANGABAD RURAL,2008,11
MAHARASHTRA,AURANGABAD RURAL,2009,5
MAHARASHTRA,AURANGABAD RURAL,2010,16
MAHARASHTRA,AURANGABAD RURAL,2011,16
MAHARASHTRA,AURANGABAD RURAL,2012,16
JAMMU & KASHMIR,AWANTIPORA,2001,14
JAMMU & KASHMIR,AWANTIPORA,2002,16
JAMMU & KASHMIR,AWANTIPORA,2003,13
JAMMU & KASHMIR,AWANTIPORA,2004,12
JAMMU & KASHMIR,AWANTIPORA,2005,11
JAMMU & KASHMIR,AWANTIPORA,2006,12
JAMMU & KASHMIR,AWANTIPORA,2007,13
JAMMU & KASHMIR,AWANTIPORA,2008,13
JAMMU & KASHMIR,AWANTIPORA,2009,11
JAMMU & KASHMIR,AWANTIPORA,2010,17
JAMMU & KASHMIR,AWANTIPORA,2011,26
JAMMU & KASHMIR,AWANTIPORA,2012,29
UTTAR PRADESH,AZAMGARH,2001,45
UTTAR PRADESH,AZAMGARH,2002,41
UTTAR PRADESH,AZAMGARH,2003,26
UTTAR PRADESH,AZAMGARH,2004,47
UTTAR PRADESH,AZAMGARH,2005,34
UTTAR PRADESH,AZAMGARH,2006,21
UTTAR PRADESH,AZAMGARH,2007,34
UTTAR PRADESH,AZAMGARH,2008,60
UTTAR PRADESH,AZAMGARH,2009,71
UTTAR PRADESH,AZAMGARH,2010,78
