STATE/UT,DISTRICT,YEAR,THEFT
UTTARAKHAND,BAGESHWAR,2012,4
UTTARAKHAND,BAGESHWAR,2009,2
UTTARAKHAND,BAGESHWAR,2011,2
UTTAR PRADESH,BAGHPAT,2011,269
UTTAR PRADESH,BAGHPAT,2012,260
UTTAR PRADESH,BAGHPAT,2001,218
UTTAR PRADESH,BAGHPAT,2009,172
UTTAR PRADESH,BAGHPAT,2008,169
UTTAR PRADESH,BAGHPAT,2007,157
UTTAR PRADESH,BAGHPAT,2006,154
UTTAR PRADESH,BAGHPAT,2010,153
UTTAR PRADESH,BAGHPAT,2005,128
UTTAR PRADESH,BAGHPAT,2002,126
UTTAR PRADESH,BAGHPAT,2004,118
UTTAR PRADESH,BAGHPAT,2003,85
UTTAR PRADESH,BAHRAICH,2011,223
UTTAR PRADESH,BAHRAICH,2012,215
UTTAR PRADESH,BAHRAICH,2010,192
UTTAR PRADESH,BAHRAICH,2001,169
UTTAR PRADESH,BAHRAICH,2009,150
UTTAR PRADESH,BAHRAICH,2006,134
UTTAR PRADESH,BAHRAICH,2007,130
UTTAR PRADESH,BAHRAICH,2008,130
UTTAR PRADESH,BAHRAICH,2002,126
UTTAR PRADESH,BAHRAICH,2004,126
UTTAR PRADESH,BAHRAICH,2005,121
UTTAR PRADESH,BAHRAICH,2003,47
ASSAM,BAKSA,2012,104
MADHYA PRADESH,BALAGHAT,2002,236
MADHYA PRADESH,BALAGHAT,2001,226
MADHYA PRADESH,BALAGHAT,2004,204
MADHYA PRADESH,BALAGHAT,2008,199
MADHYA PRADESH,BALAGHAT,2005,194
MADHYA PRADESH,BALAGHAT,2003,164
MADHYA PRADESH,BALAGHAT,2009,142
MADHYA PRADESH,BALAGHAT,2007,140
MADHYA PRADESH,BALAGHAT,2012,131
MADHYA PRADESH,BALAGHAT,2006,129
MADHYA PRADESH,BALAGHAT,2011,90
MADHYA PRADESH,BALAGHAT,2010,88
ODISHA,BALASORE,2012,434
ODISHA,BALASORE,2011,397
ODISHA,BALASORE,2009,322
ODISHA,BALASORE,2008,321
ODISHA,BALASORE,2010,321
ODISHA,BALASORE,2007,290
ODISHA,BALASORE,2006,261
ODISHA,BALASORE,2005,251
ODISHA,BALASORE,2004,197
ODISHA,BALASORE,2003,186
ODISHA,BALASORE,2002,178
ODISHA,BALASORE,2001,164
UTTAR PRADESH,BALLIA,2012,235
UTTAR PRADESH,BALLIA,2001,178
UTTAR PRADESH,BALLIA,2008,149
UTTAR PRADESH,BALLIA,2004,135
UTTAR PRADESH,BALLIA,2011,135
UTTAR PRADESH,BALLIA,2002,123
UTTAR PRADESH,BALLIA,2009,121
